Title,Release Date,Score,Genre,Summary,Actors,Languages,Revenue,Country
Lone Survivor,10-Jan-14,75.0,"Action, Biography, Drama, War",Mark Wahlberg stars as Navy SEAL Marcus Luttrel in this action-drama based on an ill-fated real-life mission to bring down a Taliban boss.,"Taylor Kitsch, Ben Foster, Mark Wahlberg, Emile Hirsch","English, Pushto, Arabic","$125,095,601","Japan,South Korea,Spain,India,Italy"
Orphan,24-Jul-09,56.0,"Horror, Mystery, Thriller","Kate and John Coleman adopt 9-year-old Esther from an orphanage, but it doesnt take long for Kate to see through Esthers angelic façade.","Isabelle Fuhrman, Vera Farmiga, CCH Pounder, Peter Sarsgaard","English, American Sign Language, Estonian","$41,596,251","United Kingdom,Greece,Israel,South Korea,Australia"
Kickboxer,08-Sep-89,36.0,"Action, Sport, Thriller","When kickboxing champ Eric Sloane is crippled in the ring by the evil Tong Po, Erics younger brother, Kurt, seeks vengeance.","Michel Qissi, Dennis Alexio, Dennis Chan, Jean-Claude Van Damme",English,"$14,697,005","Japan,France,Portugal,Belgium,Iceland,Netherlands,Spain,Italy,Sweden,Turkey,Israel,Argentina,Brazil,Colombia,Mexico"
Knowing,20-Mar-09,34.0,"Action, Drama, Sci-Fi, Thriller",An MIT astrophysics professor and his son unearth a string of numbers from a time capsule that seem to reveal a cataclysm that will wipe out humanity.,"Lara Robinson, Nicolas Cage, Chandler Canterbury, Rose Byrne",English,"$79,957,634","Japan,United Kingdom,Italy,Hong Kong,Argentina,Brazil,Colombia"
My Sisters Keeper,26-Jun-09,48.0,"Drama, Family",A former defense attorney finds herself back in court when she and her husband are sued for medical emancipation by their 11-year-old daughter.,"Sofia Vassilieva, Abigail Breslin, Walter Raney, Cameron Diaz",English,"$49,200,230","Switzerland,South Korea,Belgium,Netherlands,Israel,Italy,Australia,India,United Kingdom"
Machete Kills,11-Oct-13,29.0,"Action, Crime, Thriller",Ex-Federal Machete returns to battle when the U.S. government recruits him to take down a psychotic revolutionary and a billionaire arms dealer.,"Amber Heard, Danny Trejo, Demián Bichir, Mel Gibson","English, Spanish","$8,008,161",United States
Killers,04-Jun-10,10.0,"Action, Comedy, Romance, Thriller","After giving up the gun and settling down, an elite assassin learns that someone from his past has put a contract out on his now tranquil life.","Catherine O'Hara, Katherine Heigl, Ashton Kutcher, Tom Selleck",English,"$47,059,963","Belgium,Netherlands,Israel"
Spy Kids,30-Mar-01,93.0,"Action, Adventure, Comedy, Family, Sci-Fi",The tables are turned when pint-sized kids Carmen and Juni must rescue their secret-agent parents from the diabolical clutches of Alexander Minion.,"Carla Gugino, Daryl Sabara, Antonio Banderas, Alexa PenaVega","English, Spanish","$112,719,001",Canada
The Karate Kid,11-Jun-10,66.0,"Action, Drama, Family, Sport","After moving to Beijing with his mother, Dre falls prey to a bully, so he takes lessons from a martial arts master in this remake of the 1984 classic.","Wenwen Han, Jaden Smith, Taraji P. Henson, Jackie Chan","English, Mandarin","$176,591,618","Lithuania,Romania,France,Hungary,Portugal,Belgium,Iceland,Czech Republic,Netherlands,Spain,Poland,Slovakia,Turkey,India,Israel,Hong Kong,Germany,Mexico,Argentina,Brazil,Colombia,Russia"
John Q,15-Feb-02,23.0,"Crime, Drama, Thriller","A blue collar workers insurance wont cover his sons heart transplant, so he holds a hospital ER hostage until doctors agree to perform the surgery.","Gabriela Oltean, Kimberly Elise, Denzel Washington, Ron Annabelle","English, Spanish","$71,756,802","Lithuania,South Korea"
Space Jam,15-Nov-96,43.0,"Animation, Adventure, Comedy, Family, Sci-Fi, Sport",Basketball legend Michael Jordan hoops it up with Bugs Bunny and other Looney Tunes characters in this romp that blends live action with animation.,"Michael Jordan, Manner Washington, Wayne Knight, Theresa Randle",English,"$90,418,342","Switzerland,Portugal,France,Belgium,United Kingdom,Lithuania,Canada,Mexico,India,Brazil,Germany,Italy,Australia,Argentina,Colombia"
Letters to Juliet,14-May-10,42.0,"Adventure, Comedy, Drama, Romance","By responding to a letter addressed to Shakespeares tragic heroine Juliet Capulet, an American woman in Verona, Italy, is led in search of romance.","Marcia DeBonis, Gael García Bernal, Amanda Seyfried, Giordano Formenti","English, Italian, Spanish","$53,032,453","Canada,Belgium,United Kingdom,Netherlands,Sweden"
The Nut Job,17-Jan-14,12.0,"Animation, Adventure, Comedy, Crime, Family","When his grouchy attitude gets him kicked out of the park, Surly the squirrel hatches a plan to rob Maurys Nut Shop to stock up for winter.","Liam Neeson, Katherine Heigl, Brendan Fraser, Will Arnett","English, Dutch","$64,251,541","Germany,Australia,United Kingdom,United States,Malaysia,Canada,South Korea"
The Rundown (Welcome to the Jungle),26-Sep-03,69.0,"Action, Adventure, Comedy, Thriller","Looking to retire and open a restaurant, a bounty hunter gets roped into one final assignment: fetching his bosss errant son from the Amazon jungle.","Dwayne Johnson, Seann William Scott, Rosario Dawson, Christopher Walken","English, Portuguese","$47,726,342","Switzerland,Germany,Italy,South Africa"
Juno,25-Dec-07,94.0,"Comedy, Drama","Facing an unplanned pregnancy while in high school, quirky teen Juno devises a plan to locate her unborn babys perfect adoptive parents.","Jason Bateman, Jennifer Garner, Michael Cera, Elliot Page","English, Spanish","$143,495,265","Russia,Germany"
The Informant!,18-Sep-09,79.0,"Biography, Comedy, Crime, Drama","While gathering evidence against his employer to help the FBI build a price-fixing case, Mark Whitacre begins to piece together a fantasy world.","Lucas McHugh Carroll, Matt Damon, Rusty Schwimmer, Eddie Jemison","English, German","$33,316,821",South Africa
In Bruges,29-Feb-08,84.0,"Comedy, Crime, Drama, Thriller","After a job goes wrong in London, two hit men are ordered to lay low at a bed-and-breakfast in Bruges, Belgium, until their boss contacts them.","Olivier Bonjour, Elizabeth Berrington, Rudy Blomme, Mark Donovan",English,"$7,800,824","Germany,Russia"
Identity,25-Apr-03,62.0,"Mystery, Thriller",Complete strangers stranded at a remote desert motel during a raging storm soon find themselves the target of a deranged murderer.,"Amanda Peet, John Hawkes, John Cusack, Ray Liotta",English,"$52,159,536",Netherlands
Michael Jacksons This Is It,28-Oct-09,81.0,"Documentary, Drama, Music",This compelling documentary follows pop icon Michael Jackson during the days leading up to his untimely death as he prepares for a series of 50 shows.,"Alex Al, Nick Bass, Michael Jackson, Alexandra Apjarova",English,"$72,091,016","Romania,Lithuania,Hungary,South Korea,Japan,Russia,Spain,Czech Republic,Israel,Poland,Turkey,Greece"
What If,15-Aug-14,74.0,"Comedy, Romance","When a medical school dropout meets an animator living with her boyfriend, tensions grow when they suspect they could be more than just friends.","Daniel Radcliffe, Zoe Kazan, Adam Driver, Megan Park",English,"$3,493,000","Hong Kong,United Kingdom"
The Impossible,04-Jan-13,81.0,"Drama, History, Thriller","Tracking one familys harrowing experiences, this gripping drama depicts the chaos generated by the massive 2004 tsunami in Southeast Asia.","Samuel Joslin, Naomi Watts, Ewan McGregor, Tom Holland","English, Thai, Swedish","$19,019,882","United Kingdom,Sweden,Hungary,Spain,Belgium,Mexico,Hong Kong,Brazil,Netherlands,Italy,Argentina,United States,Colombia,Thailand,South Africa"
Insidious,01-Apr-11,66.0,"Horror, Mystery, Thriller","Hoping to leave their haunted house behind, a suburban family moves to a new place, only to learn the home wasnt haunted... but their eldest son is.","Rose Byrne, Patrick Wilson, Ty Simpkins, Lin Shaye",English,"$54,009,150","Japan,United Kingdom,Belgium,Netherlands,Germany"
Road House,19-May-89,37.0,"Action, Thriller","A brawny bouncer and expert martial artist is hired to police a rowdy bar in the Midwest. He falls for a local girl, which angers her ex-boyfriend.","Patrick Swayze, Sam Elliott, Kelly Lynch, Ben Gazzara","English, Portuguese","$30,050,028",Canada
The House of the Spirits,01-Apr-94,30.0,"Drama, Romance","Esteban vows to marry Rosa, a rich mans daughter. But when Rosa dies before he can save enough money to do so, he instead marries her younger sister.","António Assunção, Maria Conchita Alonso, Frank Baker, Julie Balloo","English, Spanish","$6,265,311",Italy
The Hurt Locker,31-Jul-09,97.0,"Drama, Thriller, War",Kathryn Bigelow directs this gripping drama following one of the U.S. Armys elite explosive ordnance disposal teams operating in Iraq.,"Jeremy Renner, Anthony Mackie, Brian Geraghty, Guy Pearce","English, Arabic","$17,017,811","United Kingdom,Italy,Sweden"
Hotel Rwanda,04-Feb-05,91.0,"Biography, Drama, History, War","Amid the holocaust of tribal fighting in Rwanda, one ordinary hotel manager musters the courage to save more than 1,000 refugees.","Xolani Mali, Hakeem Kae-Kazim, Don Cheadle, Desmond Dube","English, French, Kinyarwanda","$23,530,892",Australia
Hook,11-Dec-91,29.0,"Adventure, Comedy, Family, Fantasy","Peter Pan, the boy who wasnt supposed to grow up, did just that. But vengeful Capt. Hook kidnaps Peters kids, forcing him to return to Neverland.","Dustin Hoffman, Bob Hoskins, Robin Williams, Julia Roberts",English,"$119,654,823","United Kingdom,Switzerland,South Africa,Iceland,France,Israel,Italy,Sweden,Portugal,United States,Spain,Thailand,Singapore,Malaysia,Hong Kong"
The Pursuit of Happyness,15-Dec-06,67.0,"Biography, Drama","When Chris and his son are evicted, they face trying times as a desperate Chris accepts an unpaid internship at a stock brokerage firm.","Will Smith, Jaden Smith, Brian Howe, Thandie Newton","English, Cantonese","$163,566,459","South Korea,France,Switzerland,Hong Kong,Canada,Thailand,Japan,Netherlands,Germany,Italy,Singapore,Malaysia,Turkey,Russia,Australia,United States"
The Skin I Live In,02-Sep-11,81.0,"Drama, Horror, Thriller",A plastic surgeon seeks to overcome the grief of his late wifes disfigurement in a fiery car crash by inventing skin thats impervious to injury.,"Elena Anaya, Jan Cornet, Antonio Banderas, Marisa Paredes",Spanish,"$3,185,812","Switzerland,Germany,Greece,Spain"
Superhero Movie,28-Mar-08,17.0,"Action, Comedy, Sci-Fi","The team behind Scary Movie takes on the comic book genre in this tale of Rick Riker, a nerdy teen imbued with superpowers by a radioactive dragonfly.","Leslie Nielsen, Drake Bell, Christopher McDonald, Sara Paxton",English,"$25,881,068",Italy
Made of Honour,02-May-08,15.0,"Comedy, Romance","Suddenly realizing he loves his platonic best friend, a perennial skirt-chaser uses his role as her maid of honor to unravel her marriage plans.","Kadeem Hardison, Michelle Monaghan, Patrick Dempsey, Kevin McKidd",English,"$46,012,734","India,Switzerland,Mexico,Brazil,Italy,Argentina,Colombia"
L!fe Happens,13-Apr-12,26.0,Comedy,Two friends living in the trendy Silverlake neighborhood of Los Angeles try to maintain their lifestlye despite one of them having a new baby.,"Rachel Bilson, Kate Bosworth, Krysten Ritter, Geoff Stults",English,"$30,905","Belgium,Netherlands"
Hancock,02-Jul-08,41.0,"Action, Drama, Fantasy","Will Smith stars as Hancock, a down-and-out superhero whos forced to employ a public relations expert to help repair his image.","Jason Bateman, Will Smith, Charlize Theron, Jae Head","English, Japanese, Vietnamese","$227,946,274","France,South Korea,Portugal,Belgium,Japan,Iceland,Switzerland,Hong Kong,Canada,Thailand,Netherlands,Spain,Germany,Israel,Italy,Singapore,Malaysia,Turkey,India"
Hanna,08-Apr-11,71.0,"Action, Adventure, Drama, Thriller","Raised in isolation and trained as an assassin, teen Hanna longs for a normal life, but when she comes out of hiding she becomes targeted by the CIA.","Saoirse Ronan, Cate Blanchett, Vicky Krieps, Eric Bana","English, French, German, Italian, Arabic, Spanish","$40,259,119","Switzerland,Italy,Turkey,Thailand,Singapore,Malaysia,Hong Kong"
Monster House,21-Jul-06,75.0,"Animation, Comedy, Family, Fantasy, Mystery",Three friends uncover the truth about a scary abandoned house in their neighborhood that has a personality of its own and seems to be eating people.,"Catherine O'Hara, Mitchel Musso, Steve Buscemi, Ryan Whitney",English,"$73,661,010","France,South Korea,Czech Republic,Hungary,Lithuania,Romania,Portugal,Switzerland,Belgium,South Africa,Canada,United Kingdom,United States,Germany,Netherlands,Spain,Israel,Poland,Turkey,Greece,India,Australia"
The Legend of Hercules,10-Jan-14,5.0,"Action, Adventure, Fantasy","Springing from classical legend, the hero Hercules is born half-human and half-god and chosen by destiny to overthrow the cruel king of Greece.","Roxanne McKee, Kellan Lutz, Gaia Weiss, Scott Adkins",English,"$18,848,538","Romania,Hungary,Czech Republic,Slovakia"
Safe Haven,14-Feb-13,13.0,"Drama, Romance, Thriller","When a mysterious woman arrives in a small North Carolina town, she begins a new life but remains haunted by a terrifying secret.","Jon Kohler, Irene Ziegler, Julianne Hough, Tim Parati","English, Portuguese","$71,349,120","Canada,United Kingdom,Spain,Singapore,Sweden,Turkey,United States"
The Hangover,05-Jun-09,78.0,Comedy,"When three friends finally wake up after a wild bachelor party, they cant locate their best friend, whos supposed to be tying the knot.","Justin Bartha, Bradley Cooper, Zach Galifianakis, Ed Helms",English,"$277,322,503","Canada,Switzerland,Japan,Portugal,Belgium,United Kingdom,France,India,Netherlands,Spain,Germany,Sweden,Turkey,Russia"
The Short Game,20-Sep-13,84.0,"Documentary, Sport","They are fiercely competitive athletes, determined to become champions on one of the worlds toughest golf courses. And theyre still in grade school.","Allan Kournikova, Zamokuhle Nxasana, Jed Dy, Amari Avery","English, French","$39,819","Belgium,Switzerland,Brazil,United States,Canada,Australia,Germany,Mexico,Argentina,Sweden,France,United Kingdom,Netherlands,Spain,Portugal,India,Russia,Greece,Slovakia,Singapore,Poland,Czech Republic,Lithuania,Israel,Hong Kong,Iceland,Romania,South Africa,South Korea,Japan,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia"
Good Hair,23-Oct-09,95.0,"Documentary, Comedy",Chris Rock hops around the world going from beauty salons to science labs to comb through the mystery of African American hair.,"Tanya Crumel, Maya Angelou, Kevin Kirk, Jason Griggers",English,"$4,157,223",United States
The Goonies,07-Jun-85,76.0,"Adventure, Comedy, Family",A group of misfit children discovers a pirate-treasure map and embarks on a journey to find the riches in this beloved 1980s classic.,"Sean Astin, Josh Brolin, Corey Feldman, Jeff Cohen","English, Spanish, Cantonese, Italian","$63,192,596","France,Belgium,Switzerland,Japan,Italy"
Youve Got Mail,18-Dec-98,70.0,"Comedy, Drama, Romance",Superstore magnate Joe and independent shop owner Kathleen fall in love via the Internet -- both unaware that hes trying to put her out of business.,"Parker Posey, Greg Kinnear, Meg Ryan, Tom Hanks",English,"$115,821,495","Russia,Poland,Czech Republic,Hungary,Slovakia,Romania"
The Green Hornet,14-Jan-11,44.0,"Action, Comedy, Crime","A hard-partying heir dons a disguise to fight crime after hours. But with no talents or skills, he relies on his friend, a martial-arts genius.","Tom Wilkinson, Cameron Diaz, Seth Rogen, Jay Chou","English, Mandarin","$98,780,042","Turkey,Hong Kong,Japan,Canada,Singapore,Switzerland,United States,Greece,Sweden,Thailand,Malaysia,Netherlands,Italy,Israel,India,Germany"
Gridiron Gang,15-Sep-06,42.0,"Biography, Crime, Drama, Sport","In this moving drama, a probation officer at a detention camp for juvenile delinquents hopes to mold teenage inmates into a successful football team.","L. Scott Caldwell, Dwayne Johnson, Leon Rippy, Xzibit",English,"$38,432,823","Hungary,Lithuania,Romania,Hong Kong,Thailand,Canada,Brazil,Czech Republic,Iceland,Poland,Singapore,Argentina,Malaysia,Slovakia,Mexico,Colombia,Germany,Switzerland,Turkey"
"Girl, Interrupted",14-Jan-00,53.0,"Biography, Drama","Diagnosed with a disorder, Susanna Kaysen is sent to a mental institution, where she enters the skewed world of people who truly belong on the inside.","Winona Ryder, Angelina Jolie, Clea DuVall, Brittany Murphy",English,"$28,912,646","South Korea,Switzerland,Portugal,France,Hungary,Czech Republic,Germany,South Africa,Iceland,Israel,Lithuania,Italy,Poland,Slovakia,Sweden,Romania,Belgium"
Goon,24-Feb-12,81.0,"Comedy, Drama, Sport","When hes seen dispatching a rude opposing hockey player in the stands, Doug Glatt is hired by a rival team ... for his fighting skills.","Alison Pill, Jay Baruchel, Seann William Scott, Liev Schreiber","English, French","$4,168,528","United Kingdom,Canada,Australia"
The Iron Giant,06-Aug-99,96.0,"Animation, Action, Adventure, Comedy, Drama, Family, Sci-Fi","Amid the backdrop of the Cold War, a 9-year-old boy befriends a colossal yet gentle robot that a paranoid government agent is intent on destroying.","James Gammon, Harry Connick Jr., Jennifer Aniston, Vin Diesel",English,"$23,159,305","Germany,Poland,Czech Republic,Hungary,Slovakia,Romania"
Ghosts of Girlfriends Past,01-May-09,28.0,"Comedy, Fantasy, Romance","At his brothers wedding, playboy Connor discovers that the ghosts of his many girlfriends have come to give him a piece of their mind.","Michael Douglas, Breckin Meyer, Jennifer Garner, Matthew McConaughey","English, Japanese, Chinese, Spanish","$55,250,026","Romania,Poland,Hungary,Hong Kong,Czech Republic,Russia,Singapore,Australia,Slovakia,Thailand,Malaysia,Israel,India,Canada"
Good Will Hunting,09-Jan-98,98.0,"Drama, Romance","When professors discover that an aimless janitor is also a math genius, a therapist helps the young man confront the demons that are holding him back.","Stellan Skarsgård, Matt Damon, John Mighton, Ben Affleck",English,"$138,433,435",Canada
Son of God,28-Feb-14,21.0,"Biography, Drama, History","A follow-up to the landmark 2013 miniseries The Bible, this feature follows the life of Jesus Christ from his humble birth to his resurrection.","Diogo Morgado, Greg Hicks, Darwin Shaw, Adrian Schiller","English, Hebrew","$59,700,064",Hong Kong
Green Street,09-Sep-05,47.0,"Crime, Drama, Sport, War","After a bogus drug scandal, a Harvard newspaper editor is kicked out of school and flies to London to live with his sister and her family.","Elijah Wood, Charlie Hunnam, Claire Forlani, Marc Warren","English, Italian, German","$346,830",United Kingdom
The Hunger Games,23-Mar-12,84.0,"Action, Adventure, Sci-Fi, Thriller","In a dystopian future, teens Katniss and Peeta are drafted for a televised event pitting young competitors against each other in a fight to the death.","Jennifer Lawrence, Stanley Tucci, Wes Bentley, Willow Shields",English,"$408,010,692","South Korea,Japan,Hungary,Belgium,Thailand,Czech Republic,Netherlands,Spain,Poland,Slovakia,Sweden,Turkey,Malaysia,Romania"
Grown Ups,25-Jun-10,11.0,Comedy,"Five childhood pals reunite after 30 years at a lake house to mourn the loss of their old basketball coach, and act quite juvenile for their age.","Adam Sandler, Kevin James, Chris Rock, David Spade","English, Spanish","$162,001,186","France,Romania,Lithuania,Hungary,South Korea,Belgium,South Africa,Switzerland,Canada,Brazil,Czech Republic,Netherlands,Germany,Israel,Australia,Poland,Argentina,Greece,Slovakia,Sweden,Mexico,Colombia,Russia"
Just Go With It,11-Feb-11,19.0,"Comedy, Romance","When Danny lies to his girlfriend that hes a divorced family man, he recruits his employee and her kids to play his ex-wife and kids.","Nick Swardson, Adam Sandler, Jennifer Aniston, Nicole Kidman",English,"$103,028,109","Canada,South Korea,South Africa,Hungary,Lithuania,Romania,United Kingdom,Japan,Portugal,Belgium,Russia,India,Netherlands,Spain,Czech Republic,Germany,Poland,Sweden,Turkey,Israel"
Gremlins,08-Jun-84,85.0,"Comedy, Fantasy, Horror",A man brings home a cute creature as a Christmas present for his son that spawns a horrifying army of devilish -- and dangerous -- little beasts.,"Keye Luke, John Louie, Don Steele, Hoyt Axton","English, Spanish","$153,378,102","Belgium,France,Switzerland,Spain,Portugal,Italy,Greece,Sweden"
Gamer,04-Sep-09,30.0,"Action, Sci-Fi, Thriller","In this futuristic thriller, all hell breaks loose when the star combatant of an online game escapes, intent on taking out its evil architect.","Gerard Butler, Amber Valletta, Kyra Sedgwick, Michael C. Hall",English,"$20,534,907","Belgium,Canada,Netherlands"
The Family Man,22-Dec-00,53.0,"Comedy, Drama, Fantasy, Romance",A cutthroat investment banker who eschews emotional ties is transported into the life he might have had if he wed his college sweetheart.,"Jeremy Piven, Nicolas Cage, Téa Leoni, Don Cheadle","English, Italian","$75,793,305","Japan,South Korea"
I Will Follow,18-Sep-10,82.0,Drama,"Devastated after her aunt dies, Maye moves out of the home they shared and copes with her grief, yet finds comfort in the kindness of other mourners.","Dijon Talton, Michole Briana White, Salli Richardson-Whitfield, Omari Hardwick",English,"$135,809",United States
Out of the Furnace,06-Dec-13,54.0,"Action, Crime, Drama, Thriller",The brotherly bond between two blue-collar siblings is put to the test when one lands in prison and the other gets mixed up with a crime syndicate.,"Woody Harrelson, Carl Ciarfalio, Nancy Mosser, Dendrie Taylor",English,"$11,330,849","Romania,Hungary,South Korea,Switzerland,Czech Republic,Germany,India"
Just Friends,23-Nov-05,42.0,"Comedy, Romance","Years after high school, a once-portly nice guy comes home for the holidays and reunites with a former crush he still has feelings for.","Chris Klein, Anna Faris, Amy Smart, Ryan Reynolds",English,"$32,619,671","Romania,South Korea,United Kingdom,Canada,Czech Republic,Hungary"
The Fighter,17-Dec-10,90.0,"Biography, Drama, Sport","After a string of defeats, a boxer rediscovers his fighting will with help from his trainer and half-brother, a once-talented pugilist.","Melissa Leo, Amy Adams, Christian Bale, Mark Wahlberg",English,"$93,617,009","Hong Kong,Australia,Singapore,Turkey"
Frances Ha,23-Aug-13,92.0,"Comedy, Drama, Romance","Determined to make it as a modern dancer in New York, a young woman pursues her unlikely goal with more enthusiasm than natural talent.","Adam Driver, Mickey Sumner, Greta Gerwig, Michael Esper","English, French","$4,069,826","Japan,Poland"
Happy Feet,17-Nov-06,76.0,"Animation, Adventure, Comedy, Family, Music, Musical, Romance","Unlike his pals, young penguin Mumble cant sing well enough to attract a mate, but hes blessed with an unusual gift: He can tap-dance like a champ!","Lombardo Boyar, Jeffrey Garcia, Johnny A. Sanchez, Carlos Alazraqui",English,"$198,000,317","Hungary,Romania,Belgium,France,Portugal,Switzerland,Canada,Czech Republic,Spain,Poland,Slovakia,Sweden,Turkey"
Friends with Kids,16-Mar-12,67.0,"Comedy, Drama, Romance",Friends Jason and Julie decide that the way to have kids without sacrificing their social lives or careers is to raise a child together platonically.,"Maya Rudolph, Adam Scott, Chris O'Dowd, Jennifer Westfeldt",English,"$7,251,073",South Africa
Fireflies in the Garden,17-Jul-08,22.0,Drama,"In the wake of a family tragedy, a novelist confronts his fractured relationship with his father while dealing with painful memories of his mother.","Willem Dafoe, Emily Watson, Carrie-Anne Moss, Ryan Reynolds",English,"$70,600","Hungary,Czech Republic,Slovakia,Romania"
Free Willy,16-Jul-93,70.0,"Adventure, Drama, Family","Ordered to clean up the graffiti he painted at a marine theme park, a troubled young boy unexpectedly bonds with a killer whale on exhibit.","Jason James Richter, Jayne Atkinson, Lori Petty, August Schellenberg",English,"$77,698,625","France,Switzerland,Belgium,United Kingdom,Hungary,Czech Republic,Israel,Italy,Poland,Greece,Slovakia,Sweden,Romania"
From Paris with Love,05-Feb-10,38.0,"Action, Crime, Thriller",A low-level intelligence agent gets pulled into action and espionage above his pay grade when hes ordered to assist a trigger-happy senior agent.,"Jonathan Rhys Meyers, Kasia Smutniak, Richard Durden, John Travolta","English, French, Mandarin, German","$24,077,427","United States,Canada,Sweden"
Fair Game,03-Dec-10,79.0,"Biography, Drama, Thriller","Valerie Plame finds her life, career and marriage in jeopardy when her own government leaks her status as a CIA operative in a political vendetta.","Sonya Davison, Naomi Watts, Vanessa Chong, Anand Tiwari","English, Arabic, French","$9,540,691",Germany
Pulp Fiction,14-Oct-94,92.0,"Crime, Drama","Quentin Tarantinos stylized crime caper weaves together stories featuring a burger-loving hit man, his philosophical partner and a washed-up boxer.","Tim Roth, Amanda Plummer, Laura Lovelace, John Travolta","English, Spanish, French","$107,928,762",Canada
Fired Up,20-Feb-09,24.0,"Comedy, Sport","After maxing out their starring roles playing American football, two high school boys ditch training camp and volunteer to help the cheerleading squad.","Eric Christian Olsen, Nicholas D'Agosto, Sarah Roemer, Molly Sims",English,"$17,231,291","South Africa,United Kingdom"
Special Forces,02-Nov-11,15.0,"Action, Drama, War","While covering the war in Afghanistan, journalist Elsa is kidnapped by the Taliban, and a Special Forces team races against time to rescue her.","Diane Kruger, Benoît Magimel, Denis Ménochet, Djimon Hounsou","French, English","$10,759",Italy
Fireproof,26-Sep-08,38.0,"Drama, Fantasy, Romance","A dedicated firefighters marriage is about to end in divorce, but just when hope seems to be running out, his Christian father intervenes.","Erin Bethea, Stephen Dervan, Kirk Cameron, Ken Bevel",English,"$33,456,317","Mexico,Argentina,Brazil,Colombia"
Shoot Em Up,07-Sep-07,67.0,"Action, Thriller","When a mysterious loner delivers a womans baby during an intense shoot-out, he inadvertently runs afoul of the ruthless Mr. Hertz.","Paul Giamatti, Stephen McHattie, Monica Bellucci, Clive Owen","English, Italian","$12,807,139",United Kingdom
Whats Eating Gilbert Grape,04-Mar-94,90.0,Drama,"In a backwater Iowa town, young Gilbert is torn between taking care of his troubled family and a girl who shows him new possibilities for his life.","Johnny Depp, Leonardo DiCaprio, Juliette Lewis, Mary Steenburgen",English,"$10,032,765",United States
Girl with a Pearl Earring,30-Jan-04,72.0,"Biography, Drama, Romance","In this adaptation of the best-selling novel, a young housemaid with a hidden appreciation for art becomes the muse of Dutch master painter Vermeer.","Colin Firth, Tom Wilkinson, Scarlett Johansson, Judy Parfitt",English,"$11,670,971",South Korea
Even the Rain,05-Jan-11,87.0,"Drama, History","While making a film about the incursion of Christopher Columbus in the New World, a director finds the Bolivian locals protesting modern exploitation.","Luis Tosar, Karra Elejalde, Gael García Bernal, Juan Carlos Aduviri","Spanish, Quechua, English","$518,017","United States,Canada"
"See No Evil, Hear No Evil",12-May-89,28.0,"Comedy, Crime","Wally is blind, and Dave is deaf. But when a man is murdered outside the newsstand where they work, the police collar the unlikely duo.","Kevin Spacey, Joan Severance, Gene Wilder, Richard Pryor",English,"$46,908,987","Mexico,United Kingdom,Brazil,Argentina,Greece,Colombia"
Neighbor For Sale,14-Oct-11,73.0,Drama,"Hoping to let go of his baggage and make a new start after losing his wife and his job, a sad-sack alcoholic sells all his belongings in a yard sale.","Will Ferrell, Michael Peña, Christopher Jordan Wallace, Rebecca Hall",English,"$2,711,643",India
The Expendables,13-Aug-10,42.0,"Action, Adventure, Thriller","A mercenary leads a ragtag band of hired guns charged with overthrowing a South American despot, a job no official military unit is willing to touch.","Jason Statham, Jet Li, Dolph Lundgren, Sylvester Stallone","English, Spanish","$103,068,524","Japan,Hong Kong,South Africa,Belgium,Thailand,Czech Republic,Netherlands,Australia,Singapore,Malaysia,Slovakia"
Kevin Hart: Let Me Explain,03-Jul-13,61.0,"Documentary, Comedy","Philadelphia funnyman Kevin Hart takes the stage in front of a sold-out crowd at Madison Square Garden, part of his hit Let Me Explain world tour.","Will 'Spank' Horton, Harry Ratchford, Kevin Hart, Joey Wells",English,"$32,244,051","Russia,Lithuania,Hungary,Hong Kong,Japan,Romania,South Korea,Belgium,Switzerland,Portugal,Thailand,France,Czech Republic,Spain,Germany,India"
Elf,07-Nov-03,84.0,"Adventure, Comedy, Family, Fantasy, Romance","Buddy the Elf doesnt fit in with the other North Pole elves, so he travels to New York to find his real father and spread some Christmas cheer.","Will Ferrell, James Caan, Bob Newhart, Edward Asner",English,"$176,630,408","Hungary,Romania,Portugal,Japan,Czech Republic,Spain,Poland,Slovakia,Sweden,Australia"
Europa Report,27-Jun-13,81.0,"Action, Drama, Mystery, Sci-Fi, Thriller","When a private company sends six astronauts to learn whether one of Jupiters moons can sustain life, what they find terrifies and transforms them.","Christian Camargo, Daniel Wu, Sharlto Copley, Karolina Wydra","English, Russian, Chinese","$125,687",India
Enough,24-May-02,22.0,"Crime, Drama, Thriller","An abused wife realizes her husband isnt the wonderful man she once thought he was. When she escapes with her daughter, he pursues them relentlessly.","Billy Campbell, Tessa Allen, Jennifer Lopez, Juliette Lewis",English,"$40,007,742","Belgium,France,Switzerland,United Kingdom,South Africa,Hong Kong,Thailand,Iceland,India,Netherlands,Germany,Australia,Singapore,Malaysia,Turkey"
End of Watch,21-Sep-12,85.0,"Action, Crime, Drama, Thriller","Officers Taylor and Zavala patrol the streets of South Central Los Angeles, an area of the city ruled by gangs and riddled with drug violence.","Michael Peña, Anna Kendrick, Jake Gyllenhaal, Natalie Martinez","English, Spanish","$41,003,371","Germany,Australia"
