Title,Release Date,Score,Genre,Summary,Actors,Languages,Revenue,Country
Marlina the Murderer in Four Acts,16-Nov-17,98.0,"Drama, Thriller, Western","After encountering a group of bandits with plans to rape and steal from her, a young widow ventures into the wilderness in search of justice.","Egy Fedly, Tumpal Tampubolon, Yoga Pratama, Marsha Timothy",Indonesian,"$17,788",Singapore
Lupin,15-Dec-79,95.0,"Animation, Adventure, Family, Fantasy","Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family.","Kiyoshi Kobayashi, Makio Inoue, Yasuo Yamada, Eiko Masuyama","Japanese, English, French","$142,425","Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Canada,Czech Republic,Mexico,Belgium,Portugal,South Africa,Hungary,Thailand,Slovakia,Singapore,Sweden,Argentina,Netherlands,Israel,Australia,Germany,Switzerland,Turkey,Brazil,United Kingdom,India,Malaysia,Hong Kong,Japan,South Korea,United States,Russia,Colombia,Romania"
Infamous,13-Oct-06,74.0,"Biography, Crime, Drama",A Florida waitress and an ex-con become a modern-day Bonnie and Clyde when they document a crime spree on social media and amass millions of followers.,"Sigourney Weaver, Sandra Bullock, Toby Jones, Gwyneth Paltrow",English,"$1,151,330",Canada
Hello Brother,10-Sep-99,43.0,"Action, Comedy, Fantasy, Romance","After receiving a heart transplant from a murdered man, a cop is followed around by the victim’s ghost, who won’t rest until his death has been avenged.","Salman Khan, Arbaaz Khan, Rani Mukerji, Johnny Lever",Hindi,"$245,034","Canada,Mexico,South Africa,Argentina,Brazil,Turkey,Hong Kong,Japan,Thailand,United States,Singapore,India,Israel,Australia,Malaysia,Russia,Colombia"
The Chamber,11-Oct-96,12.0,"Crime, Drama, Thriller",An idealistic young attorney takes on the death row clemency case of his unrepentant Klansman grandfather in this adaptation of a John Grisham novel.,"Chris O'Donnell, Faye Dunaway, Gene Hackman, Robert Prosky",English,"$14,551,359",Brazil
Midnight Family,06-Mar-20,97.0,"Documentary, Action, Crime, Drama","This documentary races through the streets of Mexico City with the Ochoa family, whose ambulance service faces life-or-death situations every night.","Manuel Hernandez, Juan Ochoa, Fer Ochoa, Josue Ochoa",Spanish,"$42,310","Mexico,Argentina,Colombia"
My Girl,27-Nov-91,53.0,"Comedy, Drama, Family, Romance","In need of money, a woman agrees to act as the cousin of a rich heir to appease his grandfatherâ€™s dying wish to see his long-lost granddaughter again.","Anna Chlumsky, Macaulay Culkin, Jamie Lee Curtis, Dan Aykroyd",English,"$59,489,799",Japan
Waves,15-Nov-19,84.0,"Drama, Romance, Sport","A tragic death upends the world of a successful suburban family, leaving profound grief in its wake — but also the possibility for new love.","Kelvin Harrison Jr., Lucas Hedges, Alexa Demie, Taylor Russell",English,"$1,658,790","Hong Kong,Thailand,Singapore,Malaysia"
Captive State,15-Mar-19,44.0,"Action, Horror, Sci-Fi, Thriller","After nearly a decade of alien rule, a group of Chicago freedom fighters faces off against the human collaborators determined to crush their resistance.","Vera Farmiga, Jonathan Majors, Ashton Sanders, John Goodman",English,"$5,958,315",Sweden
The Elephant Man,10-Oct-80,92.0,"Biography, Drama","With a disfigured face and barely perceptible speech, John Merrick endures ostracizing behavior as a sideshow attraction in mid-19th century England.","Anthony Hopkins, John Hurt, John Gielgud, Anne Bancroft","English, French","$26,010,864","Belgium,France"
The Things of Life,13-Mar-70,92.0,"Drama, Romance","In the aftermath of a car crash, an architect contemplates the details of his life â€“ particularly his relationships with his mistress, wife and son.","Romy Schneider, Jean Bouise, Gérard Lartigau, Michel Piccoli",French,"$5,063","Belgium,France"
Cesar and Rosalie,27-Oct-72,100.0,"Drama, Romance","When Rosalie reconnects with her old flame, Cesar becomes insanely jealous and attempts to drive David away but a complicated love triangle soon forms.","Romy Schneider, Sami Frey, Bernard Le Coq, Yves Montand","French, English","$5,063","Belgium,France"
Teen Spirit,19-Apr-19,71.0,"Drama, Music","With the help of an unexpected mentor, a shy but talented teenager follows her dreams of pop stardom and enters a life-changing singing competition.","Archie Madekwe, Agnieszka Grochowska, Elle Fanning, Zlatko Buric","English, Polish","$441,366","Czech Republic,Hungary,Slovakia,Romania,South Korea"
Blues Brothers 2000,06-Feb-98,46.0,"Action, Comedy, Crime, Music, Musical","After 18 years in prison and the demise of his brother, Jake, Elwood sets out to reassemble the Blues Brothers Band to help a wayward orphan.","Frank Oz, Tom Davis, Walter Levine, Dan Aykroyd","English, Russian","$14,051,384","Poland,Greece,Czech Republic,South Africa,Hungary,Slovakia,Australia,Lithuania,United Kingdom,Romania"
Saint Frances,28-Feb-20,99.0,"Comedy, Drama","Feeling adrift and unfulfilled at 34, Bridget lands a job as a nanny to Frances, a strong-minded, six-year-old girl who helps turn her life around.","Charin Alvarez, Kelly O'Sullivan, Ramona Edith Williams, Lily Mojekwu",English,"$44,330",United Kingdom
HOPE GAP,08-May-20,64.0,"Drama, Romance","In a tranquil coastal town, a couple treads on rocky terrain as their son visits for their 29th wedding anniversary and their marriage unravels.","Bill Nighy, Annette Bening, Aiysha Hart, Josh O'Connor",English,"$104,732",United Kingdom
BluffMaster!,16-Dec-05,76.0,"Comedy, Crime, Drama, Romance, Thriller","When his girlfriend learns the truth about his murky past, a con artist is forced to examine his choices and get to the root of his real identity.","Priyanka Chopra, Riteish Deshmukh, Nana Patekar, Abhishek Bachchan",Hindi,"$718,956","Canada,Mexico,South Africa,Thailand,Singapore,Argentina,Israel,Australia,Turkey,Brazil,India,Malaysia,Hong Kong,Japan,United States,Russia,Colombia"
Apaharan,02-Dec-05,74.0,"Action, Crime, Drama","Raised under the condescending eye of his activist father, an underachieving loafer is lured into the local kingpin’s web of corruption and kidnapping.","Bipasha Basu, Ajay Devgn, Nana Patekar, Ayub Khan",Hindi,"$44,133","Canada,Mexico,South Africa,Thailand,Singapore,Argentina,Israel,Australia,Turkey,Brazil,India,Malaysia,Hong Kong,Japan,United States,Russia,Colombia"
Under the Silver Lake,19-Apr-19,59.0,"Crime, Drama, Mystery, Thriller","In this modern-day noir, an obsessive slacker searches L.A. for his missing neighbor and discovers an underworld labyrinth of conspiracy.","Wendy Vanden Heuvel, Riley Keough, Andrew Garfield, Deborah Geffner",English,"$46,083",Australia
Lizzie,14-Sep-18,66.0,"Biography, Crime, Drama, Mystery, Thriller","As she struggles with life in an abusive household, Lizzie Borden finds kinship with a newly hired maid — until their bond takes a drastic turn.","Fiona Shaw, Jeff Perry, Chloë Sevigny, Kristen Stewart",English,"$642,157",South Korea
Butterfly,18-Aug-00,96.0,Drama,"Seventy-eight years into marriage, love endures for one Korean couple as they live out their final shared years together in their rural home.","Fernando Fernán Gómez, Uxía Blanco, Gonzalo Uriarte, Manuel Lozano","Spanish, Gallegan, Latin","$2,092,682",South Korea
High Life,12-Apr-19,82.0,"Adventure, Drama, Horror, Mystery, Sci-Fi, Thriller",A crew consisting of death-row prisoners and a duplicitous doctor sets out on a mysterious journey to the outer reaches of space.,"Robert Pattinson, Mia Goth, Juliette Binoche, André 3000",English,"$1,225,852",South Korea
Evils Wave,26-Sep-03,68.0,Drama,A young man who survived a childhood kidnapping that left his mother dead becomes the prime suspect in a recent string of gruesome femicides.,"Henrik Lundström, Linda Zilliacus, Andreas Wilson, Gustaf Skarsgård","Swedish, Finnish","$15,530",Japan
The Last Full Measure,24-Jan-20,59.0,"Drama, War",A Pentagon lawyer reviews a posthumous petition to award a war hero with the Medal of Honor and discovers the shocking reasons behind its denial.,"LisaGay Hamilton, Sebastian Stan, Alison Sudol, Asher Miles Fallica",English,"$2,949,212","Australia,Czech Republic,Slovakia"
Just Mercy,10-Jan-20,85.0,"Biography, Crime, Drama","An idealistic, talented young lawyer heads to Alabama to defend death row inmates in need of proper legal representation. Based on a true story.","Christopher Wolfe, Jamie Foxx, Michael Harding, Charlie Pye Jr.",English,"$36,001,502","Australia,Japan"
